Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a
GOAU4;10,22;9,02;0,52;0,147;3,39%;0,117;0,47;1,61;6,25;3,04;1,97;9,15%;4,78%;2,89;8,74%;5,81%;55.452.000,00;19.373.900.000,00;0,93;-0,49%
HBTS5;32,00;9,05;0,44;3,770;18,43%;0,174;12,04;-4,32;-0,34;-7,71;-7,96;-87,31%;41,65%;1,17;-4,21%;4,90%;3.583,66;659.465.000,00;0,45;-15,42%
CEBR6;24,81;9,10;1,66;4,075;16,14%;1,208;2,60;13,25;2,82;8,97;8,45;30,77%;56,23%;7,50;15,45%;18,27%;614.808,00;1.076.040.000,00;0,00;4,18%
OFSA3;22,10;9,11;1,81;1,106;13,39%;0,898;2,14;6,37;7,29;7,76;6,44;17,36%;12,14%;3,01;18,04%;19,90%;103.232,00;657.578.000,00;0,62;4,95%
MILS3;11,77;9,14;1,80;1,608;4,33%;0,728;4,11;4,59;-2,69;6,65;4,70;35,05%;17,60%;2,21;19,38%;19,69%;11.888.800,00;1.530.490.000,00;1,15;29,02%
AFLU3;5,15;9,15;2,19;2,981;0,00%;1,919;9,86;8,52;12,21;7,57;7,24;34,98%;32,59%;3,27;31,18%;23,93%;0,00;44.270.000,00;0,00;8,61%
MTSA4;44,65;9,16;0,84;0,723;5,91%;0,677;1,13;9,17;1,17;5,80;4,33;7,88%;7,90%;4,51;11,29%;9,13%;195.877,00;469.617.000,00;0,06;-1,15%
MOVI3;7,63;9,27;1,00;0,186;2,42%;0,089;-1,19;0,83;-0,14;5,85;3,42;22,40%;2,01%;0,77;14,64%;10,81%;30.771.500,00;2.648.980.000,00;7,36;34,29%
CPRE3;18,23;9,29;2,44;2,952;0,00%;0,994;-20,50;5,21;-2,37;5,17;4,14;56,68%;32,36%;0,77;21,44%;26,21%;0,00;4.444.910.000,00;0,22;5,08%
ALUP4;9,81;9,35;1,13;2,244;3,00%;0,310;2,79;3,46;-0,76;6,70;6,29;64,89%;42,40%;2,13;10,23%;12,11%;114.895,00;8.570.260.000,00;1,49;-11,55%
GGBR3;15,24;9,39;0,56;0,444;4,33%;0,353;1,41;4,84;19,46;6,28;4,07;9,17%;4,78%;2,89;8,77%;5,95%;424.188,00;54.923.000.000,00;0,33;-0,49%
ELPL3;49,32;9,41;1,66;0,454;0,00%;0,325;-2,89;3,46;-0,56;6,83;4,78;13,12%;4,83%;0,66;10,79%;17,63%;0,00;5.867.340.000,00;1,72;3,78%
BMIN4;17,49;9,43;0,59;0,000;8,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;6,28%;3.257,86;142.483.000,00;0,00;8,50%
VALE3;60,30;9,45;1,28;1,306;7,56%;0,555;16,10;4,01;-1,55;4,99;3,97;32,54%;13,30%;1,22;15,77%;13,52%;1.012.270.000,00;214.175.000.000,00;0,45;-8,08%
MRSL4;3,05;9,48;0,91;0,816;0,00%;0,609;2,19;15,08;5,80;16,51;8,83;5,41%;8,69%;2,78;4,44%;9,63%;0,00;375.151.000,00;0,16;7,10%
ALLL11;16,50;9,51;0,46;0,442;0,00%;0,121;1,81;1,08;-0,22;3,74;2,31;40,92%;4,76%;1,62;13,04%;4,81%;0,00;13.404.700.000,00;1,58;17,53%
ALLL4;3,32;9,57;0,46;0,444;0,00%;0,122;1,82;1,09;-0,22;3,75;2,32;40,92%;4,76%;1,62;13,04%;4,81%;0,00;13.404.700.000,00;1,58;17,53%
PSSA3;46,36;9,61;2,07;0,803;4,03%;0,588;9,35;0,98;-3,59;0,66;0,65;81,72%;8,49%;1,13;74,45%;21,54%;126.651.000,00;14.482.200.000,00;0,00;17,84%
RAPT3;5,42;9,62;0,62;0,147;4,45%;0,109;0,41;1,49;-0,47;7,16;5,37;9,90%;3,43%;2,04;8,81%;6,45%;146.492,00;3.056.780.000,00;2,93;12,80%
KROT11;40,00;9,66;0,85;1,592;0,00%;0,453;7,24;4,87;-1,89;7,34;5,58;32,69%;18,10%;1,53;10,17%;8,84%;0,00;12.565.400.000,00;0,51;10,68%
RAPT4;5,46;9,69;0,62;0,148;4,42%;0,109;0,41;1,50;-0,47;7,17;5,38;9,90%;3,43%;2,04;8,81%;6,45%;20.125.400,00;3.056.780.000,00;2,93;12,80%
ITUB4;37,36;9,71;2,01;0,000;7,01%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;20,66%;723.404.000,00;200.814.000.000,00;0,00;92,42%
